run_idx,lambda_rate,lambda_connectivity,task_loss,metabolic_cost,wiring_cost,mean_acc,train_time_s,is_pareto
1,0.0,0.005,0.029118459050854046,1.228039801120758,0.019811367616057396,0.9114583333333334,61.5434408000001,False
2,0.0,0.007222222222222222,0.029724758118391037,1.27613361676534,0.01909702457487583,0.90625,140.1219134999992,False
3,0.0,0.009444444444444445,0.02866992261260748,1.3730945984522502,0.018596429377794266,0.8958333333333334,76.08831030000147,False
4,0.0,0.011666666666666665,0.03099372734626134,1.2584933042526245,0.01792828179895878,0.8854166666666666,61.45575729999837,False
5,0.0,0.013888888888888888,0.031121597935756046,1.2159018913904827,0.01745934784412384,0.875,84.12337219999608,False
6,0.0,0.01611111111111111,0.02906987878183524,1.3515838384628296,0.017258448526263237,0.890625,132.6149160999994,False
7,0.0,0.018333333333333333,0.030774152527252834,1.2572994232177734,0.016836099326610565,0.9114583333333334,136.01406169999973,False
8,0.0,0.020555555555555556,0.02948804944753647,1.2925416827201843,0.016508234664797783,0.890625,147.43751820000034,False
9,0.0,0.02277777777777778,0.027937367868920166,1.356308400630951,0.016417352482676506,0.90625,86.29793349999818,True
10,0.0,0.025,0.029855852636198204,1.267347554365794,0.015996865928173065,0.9114583333333334,59.77993189999688,True
