run_idx,lambda_rate,lambda_connectivity,task_loss,metabolic_cost,wiring_cost,mean_acc,train_time_s,is_pareto
1,0.0,0.01,0.0183347100391984,0.9844067692756653,0.020140690729022026,0.9895833333333334,192.99536719999742,False
2,0.0,0.0175,0.017817747158308823,0.9736120303471884,0.019113698974251747,0.9635416666666666,179.0143855999995,True
3,0.0,0.025,0.018066633337487776,0.9649036129315695,0.017610762268304825,0.9895833333333334,196.61579699999857,False
4,0.0,0.0325,0.01829141192138195,0.9462439815203348,0.016733936965465546,0.9895833333333334,184.8631635999991,False
5,0.0,0.04,0.017947159241884947,0.9587953488032023,0.016179461032152176,0.9791666666666666,176.9569793999981,True
