run_idx,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,train_time_s,is_pareto,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0.0,0.29999999999999993,0.96,0.925,0.013828121572732926,0.5213270646333694,0.005627277307212353,217.6391530977562,False,0.99375,0.9828125,0.9578125,0.925,0.940625
2,0.0,0.5792093186649749,0.9609375,0.9328125,0.01357818125281483,0.4614536893367767,0.0034257483202964067,204.12093753134832,True,0.9953125,0.9609375,0.9703125,0.9328125,0.9453125
3,0.0,1.118278116094482,0.9540624999999998,0.9,0.015310246627777812,0.36687988370656965,0.0019413406262174249,205.0450045862235,True,0.9953125,0.9890625,0.95625,0.9,0.9296875
4,0.0,2.1590570190034555,0.93875,0.8796875,0.016608145888894796,0.34165077984333037,0.0011058334494009614,204.19812767906114,True,0.984375,0.984375,0.9484375,0.896875,0.8796875
5,0.0,4.168486483119412,0.8953125,0.840625,0.020134858964011074,0.2596671923995018,0.0006467503262683749,204.14423779584467,False,0.978125,0.9328125,0.88125,0.840625,0.84375
6,0.0,8.048087385839173,0.8978124999999999,0.809375,0.022346385261043905,0.24446400374174118,0.000380406592739746,205.51975951576605,True,0.9984375,0.9171875,0.903125,0.8609375,0.809375
7,0.0,15.538424037693629,0.83375,0.7421875,0.02844991039484739,0.21727706953883172,0.00019795731350313872,205.138689072337,True,0.9953125,0.7765625,0.809375,0.7421875,0.8453125
8,0.0,29.999999999999996,0.4965624999999999,0.009375,0.047796835117042066,0.16124525144696236,6.0299771575955674e-05,203.17372073186561,True,0.68125,0.009375,0.4984375,0.528125,0.765625
