run_idx,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,train_time_s,is_pareto,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0.01,0.01,0.9846875,0.9796875,0.009690485205501318,0.12370348930358886,0.018281003460288048,208.43685873690993,True,0.98125,0.9859375,0.984375,0.9796875,0.9921875
2,0.0372759372031494,0.01,0.960625,0.9,0.011271589561365545,0.05401715472340584,0.015619782730937004,203.78422741638497,False,0.9953125,0.990625,0.98125,0.9359375,0.9
3,0.13894954943731375,0.01,0.9784375000000001,0.934375,0.010452261744067073,0.024429716914892197,0.012907719239592552,206.00877879513428,True,0.9984375,0.996875,0.990625,0.971875,0.934375
4,0.517947467923121,0.01,0.9528125,0.903125,0.015339934774674473,0.01129912736825645,0.010229326784610748,207.43861932307482,True,0.9796875,0.9984375,0.9546875,0.928125,0.903125
5,1.9306977288832496,0.01,0.5103125000000001,0.4390625,0.05201796364039183,0.0023923275293782353,0.007630493026226759,209.27767740702257,True,0.465625,0.459375,0.478125,0.4390625,0.709375
6,7.196856730011514,0.01,0.30656249999999996,0.1609375,0.06408689230680466,0.0007431419531349092,0.008590503595769405,208.88026863709092,True,0.165625,0.1609375,0.221875,0.1953125,0.7890625
7,26.826957952797247,0.01,0.26625,0.1625,0.06597642652690411,0.00032760207541286944,0.009539441205561161,207.82978697121143,False,0.18125,0.1625,0.184375,0.175,0.628125
8,100.0,0.01,0.2671875,0.165625,0.06934750616550445,0.00011670377411064692,0.009775269776582718,207.76790256379172,True,0.1796875,0.165625,0.190625,0.1984375,0.6015625
