run_idx,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,train_time_s,is_pareto,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0.001,1.0,0.9631250000000001,0.91875,0.01355083091184497,0.22390613615512847,0.0020825820975005627,213.58044567191973,False,0.99375,0.975,0.9734375,0.91875,0.9546875
2,0.0019306977288832496,1.0,0.9671875,0.940625,0.014057915918529035,0.17767863482236862,0.0020385617390275,202.951140625868,False,0.9984375,0.9796875,0.9765625,0.940625,0.940625
3,0.003727593720314938,1.0,0.9609375,0.925,0.013554420573636889,0.12122777462005616,0.00212574889883399,210.57032181276008,False,0.9984375,0.965625,0.98125,0.934375,0.925
4,0.0071968567300115215,1.0,0.969375,0.934375,0.012972162147052584,0.08888702273368836,0.002044615801423788,203.09230935992673,False,0.9953125,0.98125,0.975,0.934375,0.9609375
5,0.013894954943731374,1.0,0.974375,0.94375,0.012255549151450395,0.0652804659307003,0.0019823049660772085,208.51955680223182,False,1.0,0.975,0.9890625,0.94375,0.9640625
6,0.026826957952797246,1.0,0.98375,0.9484375,0.011215624175965786,0.04455945707857609,0.0018995865248143673,203.18936632713303,True,0.9921875,0.9984375,0.9921875,0.9484375,0.9875
7,0.0517947467923121,1.0,0.9737500000000001,0.940625,0.011436627632938326,0.031731289625167844,0.0018250970169901848,208.6467912979424,False,0.99375,0.9875,0.9828125,0.9640625,0.940625
8,0.1,1.0,0.9806250000000001,0.9484375,0.011217234851792454,0.021891335770487786,0.001764535321854055,205.24085009424016,True,0.9984375,0.9828125,0.99375,0.9484375,0.9796875
