lambda_rate,lambda_connectivity,n_seeds,mean_acc,mean_acc_std,min_task_acc,min_task_acc_std,task_loss,task_loss_std,metabolic_cost,metabolic_cost_std,wiring_cost,wiring_cost_std,conn_frac,conn_frac_std,wiring_cost_w_in_l2,wiring_cost_w_in_l2_std,acc_contextdm1,acc_contextdm1_std,acc_dm1,acc_dm1_std,acc_dmsgo,acc_dmsgo_std,acc_fdanti,acc_fdanti_std,acc_fdgo,acc_fdgo_std,train_time_s,is_pareto,run_idx
0.0,0.0,3,0.9676041666666667,0.005080728499273765,0.8479166666666668,0.014850601488940933,0.003621376941446215,0.0005834999052997765,1.1294995669523875,0.6021618860357126,0.029076072697838146,0.005177502926088724,0.7730034589767456,0.04262180528802894,0.03382352739572525,0.0018225351938216745,0.990625,0.010937499999999989,0.9994791666666667,0.0009021097956088031,0.8479166666666668,0.014850601488940933,1.0,0.0,1.0,0.0,1289.207844415214,False,1
0.020000000000000004,1.0,3,0.9698958333333335,0.0007864410870073751,0.8494791666666667,0.003932205435036846,0.00328250977753972,0.0002819059384008903,0.04707024072607358,0.001522824025751805,0.02068171588083108,0.003653911060520177,0.6554993987083435,0.05804346037501484,0.022158669928709667,0.0004611217974955814,1.0,0.0,1.0,0.0,0.8494791666666667,0.003932205435036846,1.0,0.0,1.0,0.0,1316.4925314076245,False,2
0.020000000000000004,2.091279105182547,3,0.9646875,0.004506939094329998,0.8244791666666668,0.023193170914804488,0.0035916859586723146,0.0004858960242478331,0.05028372352321942,0.0019018635174059661,0.015609555256863436,0.0030870111264440017,0.530836413304011,0.07957847821284361,0.022280093903342884,0.0003904183911301579,0.9989583333333334,0.000902109795608803,1.0,0.0,0.8244791666666668,0.023193170914804488,1.0,0.0,1.0,0.0,1312.1454021199606,True,3
0.020000000000000004,4.373448295773113,3,0.9528125000000002,0.01831793861219104,0.7651041666666667,0.09213893494789994,0.004183250715335211,0.000500326133291275,0.05581500617166361,0.0017955074265101646,0.010503449166814486,0.0026630710803283056,0.34749285380045575,0.10274187732464342,0.022564363355437916,0.00032437998185027905,0.9989583333333334,0.0018042195912176063,1.0,0.0,0.7651041666666667,0.09213893494789994,1.0,0.0,1.0,0.0,1313.7713290071115,True,4
0.020000000000000004,9.14610103854653,3,0.9353124999999999,0.019978015260530738,0.6765625000000001,0.0998900763026538,0.0049905095629704495,0.000624369031078239,0.06479368651906649,0.0028115233177828454,0.006834540205697219,0.0019058322876915111,0.19212111830711365,0.08785133437511458,0.023642577851812046,0.0011415645317566054,1.0,0.0,1.0,0.0,0.6765625000000001,0.0998900763026538,1.0,0.0,1.0,0.0,1312.943839570973,True,5
0.020000000000000004,19.127049995800746,3,0.9023958333333333,0.02409764749064383,0.5588541666666667,0.04297111735902772,0.006699906988069414,0.0019379817206167534,0.07012816006938616,0.010340425770872467,0.0045352785382419825,0.0012748864892159239,0.08854677279790242,0.05323647368708698,0.025150698920090992,0.0017854377127235867,1.0,0.0,1.0,0.0,0.5588541666666667,0.04297111735902772,0.953125,0.08118988160479113,1.0,0.0,1311.0512073677965,True,6
0.020000000000000004,40.000000000000014,3,0.7779166666666667,0.17374166271963482,0.4401041666666667,0.07031828679890695,0.01213792624262472,0.0059853076471709605,0.0816765787328283,0.009141552617815548,0.0032890154204020896,0.0008577988900695642,0.0322712417691946,0.025401029963230085,0.027765583867828052,0.003204281766098999,0.8614583333333332,0.23726002130222723,0.8510416666666667,0.2566514259206119,0.4838541666666667,0.017211157960269074,0.7291666666666666,0.31993626277679643,0.9640624999999999,0.062245575897006515,1312.5102273058146,True,7
0.047428812195586235,1.0,3,0.9713541666666666,0.0012629537138523115,0.8567708333333334,0.006314768569261493,0.0032210826563338437,0.00043197504821835273,0.025718726590275767,0.0007425822339001969,0.019466787887116272,0.0037105522355962636,0.6263735691706339,0.06649087575111616,0.018968418861428898,0.000619093331233665,1.0,0.0,1.0,0.0,0.8567708333333334,0.006314768569261493,1.0,0.0,1.0,0.0,1331.2281493153423,True,8
0.047428812195586235,2.091279105182547,3,0.9631250000000001,0.005528689379048133,0.8161458333333332,0.02680647756762035,0.003729572417990615,0.0004576211238925357,0.02630922065426906,0.00026655358284061816,0.014301764778792858,0.0032045610491027035,0.48545750975608826,0.0939291644648791,0.018797508751352627,0.0004869356701415944,0.9994791666666667,0.0009021097956088031,1.0,0.0,0.8161458333333332,0.02680647756762035,1.0,0.0,1.0,0.0,1371.7151414821856,True,9
0.047428812195586235,4.373448295773113,3,0.950625,0.016077813711758204,0.7531249999999999,0.08038906855879101,0.004682147993395726,0.0007246334125219646,0.028486993623276554,0.00025903919164782963,0.009214666516830524,0.0022009788015703736,0.29405126472314197,0.09314945750599925,0.01927703060209751,0.00012443519346914738,1.0,0.0,1.0,0.0,0.7531249999999999,0.08038906855879101,1.0,0.0,1.0,0.0,1377.849882928189,True,10
0.047428812195586235,9.14610103854653,3,0.9239583333333333,0.023902334919068745,0.6546875,0.06724198372296876,0.005610774113641431,0.0009952902796893542,0.030501214315493904,0.0021295857625858177,0.0061553640601535635,0.0016649647963780853,0.16129493216673532,0.07651822527469221,0.02001868685086568,0.0005438848648042938,1.0,0.0,1.0,0.0,0.6546875,0.06724198372296876,0.9651041666666668,0.05643055512825772,1.0,0.0,1381.15414321376,True,11
0.047428812195586235,19.127049995800746,3,0.8597916666666667,0.07665130903698465,0.5229166666666667,0.02427329207860635,0.008040895325442153,0.002917211530716889,0.03246426029130817,0.0016541076744086087,0.0041064856729159755,0.0011103106553871634,0.06773386585215728,0.043075116015639146,0.02070823187629382,0.0005378446089355824,0.975,0.043301270189221905,0.9734375000000001,0.046007599576048316,0.525,0.021875000000000016,0.8255208333333334,0.27951868741567765,1.0,0.0,1373.6053082570434,True,12
0.047428812195586235,40.000000000000014,3,0.6229166666666667,0.24086682923782454,0.37864583333333335,0.16478511496668422,0.015692854009879135,0.007453797023798561,0.03975808253511787,0.0026625598117212272,0.0031565066116551557,0.000837608252272805,0.027093546542649467,0.024456765709108638,0.021378593519330025,0.001182283409992045,0.7281249999999999,0.2949940412533785,0.7036458333333333,0.3155566654573839,0.48645833333333327,0.026577814212860557,0.471875,0.26985148548553517,0.7244791666666667,0.3553179052652474,1373.097725268919,True,13
0.11247461131420951,1.0,3,0.9683333333333333,0.009428665843232235,0.8421875,0.047675457194976116,0.0033705977730763455,0.0005127357454093168,0.013668559733778238,0.00026156356611936767,0.017243971737722557,0.0034749585846038005,0.5678717295328776,0.07624616673997395,0.016535549735029537,0.000519046687814385,0.9994791666666667,0.0009021097956088031,1.0,0.0,0.8421875,0.047675457194976116,1.0,0.0,1.0,0.0,1376.3469130191952,True,14
0.11247461131420951,2.091279105182547,3,0.9565625,0.011057378758096318,0.7838541666666666,0.05558050654980875,0.004114152930754547,0.0003761129809891896,0.013803650078674158,0.00036946041903297217,0.011998017318546772,0.00275976639023704,0.40213950475056964,0.09085065998263932,0.016087392965952556,0.00020150330332744146,0.9989583333333334,0.0018042195912176063,1.0,0.0,0.7838541666666666,0.05558050654980875,1.0,0.0,1.0,0.0,1371.434888273012,True,15
0.11247461131420951,4.373448295773113,3,0.9317708333333332,0.018885792995882795,0.6953125,0.03307189138830737,0.00503359815881898,0.0007953087124141584,0.014050408670057852,0.0003162968521177059,0.007626357488334179,0.0019777251774680997,0.2218086173137029,0.0863561171393732,0.01646103337407112,0.0004204441808980175,0.9994791666666667,0.0009021097956088031,1.0,0.0,0.6953125,0.03307189138830737,0.9640624999999999,0.062245575897006515,1.0,0.0,1373.2544368002564,True,16
