point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0,0.0,0.0,0.969375,0.8484375,0.0034556893538683657,0.5724027180671691,0.023695219308137894,0.7263174057006836,0.03585788980126381,1.0,1.0,1.0,0.9984375,0.8484375
1,1,0.0,0.0,0.9715624999999999,0.8625,0.0031386388605460524,1.047726936340332,0.03402290120720863,0.8098345398902893,0.033272888511419296,1.0,1.0,1.0,0.9953125,0.8625
1,2,0.0,0.0,0.961875,0.8328125,0.004269802609924227,1.7683690464496613,0.029510097578167915,0.7828584313392639,0.032339803874492645,1.0,1.0,0.9984375,0.978125,0.8328125
2,0,0.020000000000000004,1.0,0.9706250000000001,0.853125,0.00353556658141315,0.04746446058154106,0.0165487639605999,0.588511049747467,0.022172775119543076,1.0,1.0,1.0,1.0,0.853125
2,1,0.020000000000000004,1.0,0.9690625,0.8453125,0.0029786606249399485,0.04538907013833523,0.02348310500383377,0.6908547878265381,0.02261257730424404,1.0,1.0,1.0,1.0,0.8453125
2,2,0.020000000000000004,1.0,0.97,0.85,0.003333302126266062,0.04835719145834446,0.022013278678059578,0.6871323585510254,0.02169065736234188,1.0,1.0,1.0,1.0,0.85
3,0,0.020000000000000004,2.091279105182547,0.9609375,0.8046875,0.004131699313875288,0.05142101652920246,0.012068807147443295,0.43907782435417175,0.022125059738755226,1.0,1.0,1.0,1.0,0.8046875
3,1,0.020000000000000004,2.091279105182547,0.9634375000000001,0.81875,0.003189830395858735,0.048088114112615585,0.017736250534653664,0.5724724531173706,0.022724216803908348,1.0,1.0,1.0,0.9984375,0.81875
3,2,0.020000000000000004,2.091279105182547,0.9696875,0.85,0.0034535281662829223,0.051342039927840234,0.017023608088493347,0.5809589624404907,0.021991005167365074,1.0,1.0,1.0,0.9984375,0.85
4,0,0.020000000000000004,4.373448295773113,0.9321875000000001,0.6609375,0.004760382380336523,0.05533043302595615,0.007534247823059559,0.23014706373214722,0.022884594276547432,1.0,1.0,1.0,1.0,0.6609375
4,1,0.020000000000000004,4.373448295773113,0.9590625000000002,0.7984375,0.0038719798042438926,0.05431151539087296,0.012680747546255589,0.42127758264541626,0.022572508081793785,1.0,1.0,1.0,0.996875,0.7984375
4,2,0.020000000000000004,4.373448295773113,0.9671875,0.8359375,0.003917389961425216,0.0578030700981617,0.011295352131128311,0.3910539150238037,0.022235987707972527,1.0,1.0,1.0,1.0,0.8359375
5,0,0.020000000000000004,9.14610103854653,0.9125,0.5625,0.005705620551016181,0.06190525338053703,0.004640464670956135,0.09071691334247589,0.02490527182817459,1.0,1.0,1.0,1.0,0.5625
5,1,0.020000000000000004,9.14610103854653,0.9496874999999999,0.7484375,0.004553588503040373,0.06495440050959587,0.008078958839178085,0.2452205866575241,0.023338908329606056,1.0,1.0,1.0,1.0,0.7484375
5,2,0.020000000000000004,9.14610103854653,0.94375,0.71875,0.004712319634854793,0.06752140566706658,0.007784197106957436,0.24042585492134094,0.022683553397655487,1.0,1.0,1.0,1.0,0.71875
6,0,0.020000000000000004,19.127049995800746,0.875,0.515625,0.008934744142461568,0.05834664799273014,0.003073944477364421,0.027328431606292725,0.027212101966142654,1.0,0.859375,1.0,1.0,0.515625
6,1,0.020000000000000004,19.127049995800746,0.9203125,0.6015625,0.005482988061849028,0.0776986140012741,0.005419934634119272,0.12398897111415863,0.024092594161629677,1.0,1.0,1.0,1.0,0.6015625
6,2,0.020000000000000004,19.127049995800746,0.911875,0.559375,0.005681988759897649,0.07433921821415425,0.005111956503242254,0.11432291567325592,0.02414740063250065,1.0,1.0,1.0,1.0,0.559375
7,0,0.020000000000000004,40.000000000000014,0.5775,0.3609375,0.01903171855956316,0.08944795735180378,0.0023506965953856707,0.005744485184550285,0.031411994248628616,0.8921875,0.3609375,0.5546875,0.5875,0.4921875
7,1,0.020000000000000004,40.000000000000014,0.8703125,0.4640625,0.008266026261262596,0.08397734560072422,0.004032924305647612,0.05637254938483238,0.025399064645171165,1.0,0.8875,1.0,1.0,0.4640625
7,2,0.020000000000000004,40.000000000000014,0.8859375,0.4953125,0.009116033907048404,0.0716044332459569,0.003483425360172987,0.03469669073820114,0.026485692709684372,1.0,0.9390625,0.9984375,0.996875,0.4953125
8,0,0.047428812195586235,1.0,0.9706250000000001,0.853125,0.003712065634317696,0.02644999459385872,0.015446827746927738,0.5514858961105347,0.018262991681694984,1.0,1.0,1.0,1.0,0.853125
8,1,0.047428812195586235,1.0,0.9706250000000001,0.853125,0.0028994056780356913,0.024965324997901918,0.02276056632399559,0.6784773468971252,0.019421411678195,1.0,1.0,1.0,1.0,0.853125
8,2,0.047428812195586235,1.0,0.9728125000000001,0.8640625,0.003051776656648144,0.025740860179066658,0.02019296959042549,0.6491574645042419,0.019220853224396706,1.0,1.0,1.0,1.0,0.8640625
9,0,0.047428812195586235,2.091279105182547,0.9571875000000001,0.7875,0.004242556702811271,0.026040808111429215,0.01069655641913414,0.3775275647640228,0.018370749428868294,1.0,1.0,1.0,0.9984375,0.7875
