run_idx,lambda_rate,lambda_connectivity,task_loss,metabolic_cost,wiring_cost,mean_acc,train_time_s,is_pareto
1,0.016,0.012,0.00726713496260345,0.10362753570079804,0.017109425738453865,0.984375,205.6943591539748,False
2,0.016,0.015111111111111112,0.0074889059644192455,0.10494585931301117,0.016375834122300148,0.9875,202.61788275977597,False
3,0.016,0.018222222222222223,0.007359880208969116,0.10229752808809281,0.016036931425333023,0.98125,202.48472218122333,False
4,0.016,0.021333333333333336,0.007411255082115531,0.10253311395645141,0.015498259104788303,0.975,200.5408652429469,False
5,0.016,0.024444444444444446,0.007108845468610525,0.10169571340084076,0.01514970138669014,0.984375,203.75308313500136,False
6,0.016,0.027555555555555555,0.007709654746577144,0.10043199360370636,0.014764550141990185,0.990625,203.15130385570228,False
7,0.016,0.03066666666666667,0.007164279697462916,0.10202986896038055,0.01441865973174572,0.975,203.60990313719958,False
8,0.016,0.03377777777777778,0.006959478463977575,0.1007181391119957,0.014025471173226833,0.9875,204.41539782937616,False
9,0.016,0.03688888888888889,0.007312864298000932,0.10168443024158477,0.01380251720547676,0.965625,201.7378768529743,False
10,0.016,0.04,0.007141558267176151,0.09763444364070892,0.01309890579432249,0.975,203.2087845937349,False
11,0.018666666666666668,0.012,0.007273416174575687,0.09551325142383575,0.01676691696047783,0.978125,203.18408874981105,False
12,0.018666666666666668,0.015111111111111112,0.007131104217842221,0.09475291222333908,0.016103442758321762,0.98125,204.49126065708697,False
13,0.018666666666666668,0.018222222222222223,0.00716332015581429,0.09546593874692917,0.015527104958891869,0.978125,204.55219225073233,False
14,0.018666666666666668,0.021333333333333336,0.007153546158224344,0.09175103008747101,0.01546475663781166,0.984375,203.28800977999344,False
15,0.018666666666666668,0.024444444444444446,0.00788344694301486,0.09263797476887703,0.014694254845380783,0.971875,201.78568839095533,False
16,0.018666666666666668,0.027555555555555555,0.007096774224191904,0.09106196537613868,0.014348930679261684,0.965625,202.7322943462059,False
17,0.018666666666666668,0.03066666666666667,0.006969173718243837,0.09168580174446106,0.013973061926662922,0.9875,203.95997111219913,False
18,0.018666666666666668,0.03377777777777778,0.006989318924024701,0.09261926487088204,0.013920754194259644,0.984375,204.62762521207333,False
19,0.018666666666666668,0.03688888888888889,0.006932227173820138,0.08751723915338516,0.013299647718667984,0.978125,203.61825307505205,False
20,0.018666666666666668,0.04,0.007277554972097278,0.09193735644221306,0.013093743473291397,0.98125,203.15293812472373,False
21,0.021333333333333333,0.012,0.0068483659997582436,0.0854687049984932,0.016667181625962257,0.98125,201.25694672157988,False
22,0.021333333333333333,0.015111111111111112,0.007174891326576472,0.08860912173986435,0.01582334376871586,0.9875,201.1141775152646,False
23,0.021333333333333333,0.018222222222222223,0.006988920643925667,0.08625084608793258,0.01552422996610403,0.99375,202.75488604791462,False
24,0.021333333333333333,0.021333333333333336,0.006992109166458249,0.08708895370364189,0.01499011181294918,0.978125,201.19883126299828,False
25,0.021333333333333333,0.024444444444444446,0.0072663597296923396,0.0869541622698307,0.014695892110466957,0.9875,201.4525063689798,False
26,0.021333333333333333,0.027555555555555555,0.00706771626137197,0.08485607206821441,0.014459032565355301,0.984375,201.3497898457572,False
27,0.021333333333333333,0.03066666666666667,0.007047032238915563,0.08468593582510948,0.013975602574646473,0.9875,201.41023320425302,False
28,0.021333333333333333,0.03377777777777778,0.007029024930670857,0.08281279131770133,0.013603159226477146,0.984375,202.13637576904148,False
29,0.021333333333333333,0.03688888888888889,0.007174865202978253,0.08418574035167695,0.013057117350399494,0.984375,203.71711600618437,False
30,0.021333333333333333,0.04,0.006923139188438654,0.08186970055103301,0.012994428165256977,0.9875,202.1640586256981,False
31,0.024,0.012,0.007283388450741768,0.08188882246613502,0.016179336234927177,0.98125,202.92485294723883,False
32,0.024,0.015111111111111112,0.007120346650481224,0.08028574660420418,0.015857191756367683,0.978125,203.33922435715795,False
33,0.024,0.018222222222222223,0.0071964315604418514,0.08028906658291816,0.015363680198788643,0.978125,203.35083244601265,False
34,0.024,0.021333333333333336,0.006791358767077327,0.08071730434894561,0.01496480219066143,0.975,203.02679623430595,True
35,0.024,0.024444444444444446,0.007221720879897475,0.07848327904939652,0.014548832550644875,0.9875,200.7035459810868,False
36,0.024,0.027555555555555555,0.007536077219992876,0.08066117390990257,0.014211772009730339,0.978125,201.17803012486547,False
37,0.024,0.03066666666666667,0.007141780992969871,0.07813191413879395,0.013697059825062752,0.9875,201.2327659302391,False
38,0.024,0.03377777777777778,0.0071246599778532985,0.08094288408756256,0.013464909978210926,0.984375,201.71480163838714,False
39,0.024,0.03688888888888889,0.007323670387268067,0.07414673566818238,0.012784083373844624,0.984375,201.982754745055,False
40,0.024,0.04,0.006942318938672543,0.0787632517516613,0.012792680412530899,0.990625,203.28684323094785,False
41,0.026666666666666665,0.012,0.007002987014129758,0.07553979307413101,0.016131607815623283,0.9875,200.80486523592845,False
42,0.026666666666666665,0.015111111111111112,0.007150294166058302,0.07595804929733277,0.01543914619833231,0.9875,203.1441596141085,False
43,0.026666666666666665,0.018222222222222223,0.007185033196583391,0.07458584606647492,0.014975005760788918,0.978125,203.29945488413796,False
44,0.026666666666666665,0.021333333333333336,0.00702187973074615,0.07560387179255486,0.014703775756061077,0.984375,203.1917514479719,False
45,0.026666666666666665,0.024444444444444446,0.0069779339246451855,0.07441366240382194,0.01446637511253357,0.98125,201.21424985909835,False
46,0.026666666666666665,0.027555555555555555,0.0069354347884655,0.07612320631742478,0.013912450522184372,0.978125,201.01135236537084,False
47,0.026666666666666665,0.03066666666666667,0.007241335650905967,0.07089671120047569,0.01323319599032402,0.978125,200.78106686100364,False
48,0.026666666666666665,0.03377777777777778,0.00733018908649683,0.07436038628220558,0.013245128095149994,0.971875,202.6728983251378,False
49,0.026666666666666665,0.03688888888888889,0.0075530233327299355,0.07389933913946152,0.01279541663825512,0.9875,200.75866570603102,False
50,0.026666666666666665,0.04,0.007043925020843745,0.07268554121255874,0.01267178263515234,0.98125,202.44368696818128,False
51,0.029333333333333333,0.012,0.007019044924527406,0.0714014045894146,0.015999168157577515,0.975,203.22717835428193,False
52,0.029333333333333333,0.015111111111111112,0.0073903548996895555,0.07318527847528458,0.015350759029388428,0.98125,202.66530702076852,False
53,0.029333333333333333,0.018222222222222223,0.00692819464020431,0.07008669972419738,0.014718052931129932,0.975,201.1376760127023,False
54,0.029333333333333333,0.021333333333333336,0.007118755718693137,0.07188434228301048,0.014331459999084473,0.98125,202.84328789869323,False
55,0.029333333333333333,0.024444444444444446,0.006919371709227562,0.0685213752090931,0.014002314768731594,0.9875,201.14740027301013,False
56,0.029333333333333333,0.027555555555555555,0.007153912819921971,0.06861934363842011,0.013683764263987541,0.9875,200.50322005478665,False
57,0.029333333333333333,0.03066666666666667,0.00729059181176126,0.06789072751998901,0.013326287269592285,0.990625,201.21184167079628,False
58,0.029333333333333333,0.03377777777777778,0.006929477443918586,0.06993680447340012,0.013029366731643677,0.98125,201.52913700509816,False
59,0.029333333333333333,0.03688888888888889,0.007008425565436483,0.06982637569308281,0.012892422266304493,0.984375,200.98190762382,False
60,0.029333333333333333,0.04,0.007390208775177598,0.07036104202270507,0.012484202161431313,0.978125,200.6979829086922,False
61,0.032,0.012,0.007278392324224114,0.06953675374388694,0.01565219648182392,0.98125,201.3862193832174,False
62,0.032,0.015111111111111112,0.007036281330510974,0.06717945337295532,0.015268024988472462,0.984375,201.04382769111544,False
63,0.032,0.018222222222222223,0.0070616340730339285,0.0670720435678959,0.014655916020274162,0.990625,201.23604638781399,False
64,0.032,0.021333333333333336,0.007098804507404566,0.0665223740041256,0.014275426976382732,0.978125,200.62858026381582,False
65,0.032,0.024444444444444446,0.0070393200032413,0.06520041301846505,0.013836327008903027,0.990625,200.6146004279144,False
66,0.032,0.027555555555555555,0.006866008695214987,0.0664268359541893,0.013587504625320435,0.990625,202.93577577127144,True
67,0.032,0.03066666666666667,0.006911916518583893,0.06561781764030457,0.013164656236767769,0.98125,203.0464013600722,False
68,0.032,0.03377777777777778,0.0070297962985932825,0.06546198353171348,0.01284084003418684,0.9875,203.94761888077483,False
69,0.032,0.03688888888888889,0.0071311846375465395,0.06318082809448242,0.012513331137597561,0.99375,203.23554643709213,False
70,0.032,0.04,0.006980995135381818,0.0645057313144207,0.01229652389883995,0.9875,203.48053830489516,False
71,0.034666666666666665,0.012,0.006821670196950435,0.06513843685388565,0.015524828806519508,0.9875,203.58057282911614,True
72,0.034666666666666665,0.015111111111111112,0.0069324155803769825,0.06250677332282066,0.015175530686974525,0.9875,202.7759489887394,False
73,0.034666666666666665,0.018222222222222223,0.006878601526841522,0.0626964546740055,0.014370241202414036,0.990625,203.7347919633612,False
74,0.034666666666666665,0.021333333333333336,0.0070154279004782435,0.06244487464427948,0.01399848610162735,0.975,203.50001642107964,False
75,0.034666666666666665,0.024444444444444446,0.0069553166627883915,0.0644337259232998,0.013627358712255955,0.975,202.32277052570134,False
76,0.034666666666666665,0.027555555555555555,0.006953427148982882,0.06323665827512741,0.013456778600811958,0.990625,203.7732605249621,False
77,0.034666666666666665,0.03066666666666667,0.006950280489400029,0.061938608437776564,0.012908491306006908,0.98125,203.76686818012968,False
