run_idx,lambda_rate,lambda_connectivity,task_loss,metabolic_cost,wiring_cost,mean_acc,train_time_s,is_pareto
1,0.009,0.009,0.009381115979825458,0.14640061805645624,0.018912306055426598,0.9895833333333334,191.68583565903828,False
2,0.009,0.012,0.008931369365503391,0.14810030410687128,0.01776413433253765,1.0,187.56661874009296,False
3,0.009,0.015,0.00870929790350298,0.15036606043577194,0.017712336033582687,0.9947916666666666,187.26143757393584,False
4,0.009,0.018000000000000002,0.009010679398973783,0.14506680270036063,0.016866765916347504,0.9895833333333334,186.34326669597067,False
5,0.009,0.020999999999999998,0.008737222446749607,0.14278111110130945,0.016610775142908096,1.0,185.97838703193702,False
6,0.009,0.024,0.00903515494428575,0.14096960922082266,0.01617298647761345,0.9895833333333334,186.33030077489093,False
7,0.012,0.009,0.009096329022819797,0.12638928989569345,0.018158428370952606,0.9791666666666666,186.40764415892772,False
8,0.012,0.012,0.008525836591919264,0.12266479184230168,0.017547855153679848,0.9895833333333334,186.32967797503807,False
9,0.012,0.015,0.008806960191577673,0.12680768966674805,0.01685332879424095,0.9895833333333334,186.40282140905038,False
10,0.012,0.018000000000000002,0.00902154544989268,0.1187274232506752,0.016575049608945847,0.9895833333333334,186.5199543989729,False
11,0.012,0.020999999999999998,0.008486001829927167,0.12358758101860683,0.015987377613782883,0.984375,186.32095502712764,False
12,0.012,0.024,0.008942297970255217,0.12633173167705536,0.015651997178792953,0.9947916666666666,185.99132405710407,False
13,0.015,0.009,0.008540169258291522,0.10590946922699611,0.017648175358772278,1.0,185.7076939898543,False
14,0.015,0.012,0.0092271842683355,0.10974085330963135,0.01703822612762451,0.9895833333333334,185.61392707098275,False
15,0.015,0.015,0.009652822744101286,0.10669216265281041,0.016791312023997307,0.9895833333333334,186.07614674093202,False
16,0.015,0.018000000000000002,0.008555709306771556,0.10965023686488469,0.016160154715180397,0.9947916666666666,186.05907150101848,False
17,0.015,0.020999999999999998,0.008744204494481286,0.10730183124542236,0.01554105244576931,1.0,185.7700361390598,False
18,0.015,0.024,0.011147563811391592,0.10887812574704488,0.015687033534049988,0.9791666666666666,185.89920658711344,False
19,0.018000000000000002,0.009,0.008957573833564917,0.09661983946959178,0.017369722947478294,1.0,185.95927196880803,False
20,0.018000000000000002,0.012,0.008429512769604722,0.09816155831019084,0.01675427518785,0.9947916666666666,185.789116733009,False
21,0.018000000000000002,0.015,0.008987345189477006,0.09766359130541484,0.01610689051449299,0.9947916666666666,185.59604287799448,False
22,0.018000000000000002,0.018000000000000002,0.008557031707217297,0.09556412945191066,0.015729442238807678,1.0,185.65671696001664,True
23,0.018000000000000002,0.020999999999999998,0.010301932459697127,0.09610165903965633,0.015605013817548752,0.984375,185.66911517595872,False
24,0.018000000000000002,0.024,0.009048608597368002,0.09540259838104248,0.015192695893347263,1.0,185.92543953098357,False
25,0.020999999999999998,0.009,0.008365959472333392,0.09021049489577611,0.016894476488232613,1.0,185.84934126702137,True
26,0.020999999999999998,0.012,0.008735132869333029,0.08463991185029347,0.01645345613360405,1.0,185.78988738218322,False
27,0.020999999999999998,0.015,0.008247418950001398,0.0927014301220576,0.015945184975862503,0.9947916666666666,185.60133647895418,True
28,0.020999999999999998,0.018000000000000002,0.009295020640517274,0.08860315382480621,0.015619282610714436,1.0,185.7028183839284,False
29,0.020999999999999998,0.020999999999999998,0.009651399760817489,0.08486394335826238,0.015299702994525433,0.9947916666666666,185.61929843202233,False
30,0.020999999999999998,0.024,0.00870302451464037,0.08657708019018173,0.014723040163516998,0.9947916666666666,185.7024035959039,False
31,0.024,0.009,0.008518051278466979,0.08131600171327591,0.016681624576449394,0.9895833333333334,185.7901040671859,True
32,0.024,0.012,0.009731849965949854,0.08162034799655278,0.016103452071547508,0.9895833333333334,185.89564864500426,False
33,0.024,0.015,0.009872530587017536,0.08313931773106258,0.015835165977478027,0.9947916666666666,186.210948508,False
34,0.024,0.018000000000000002,0.008713363980253538,0.07962543268998463,0.0154515840113163,0.9895833333333334,185.603038799949,True
35,0.024,0.020999999999999998,0.009519698331132531,0.08217481275399525,0.014867406338453293,0.9947916666666666,185.78154778806493,False
36,0.024,0.024,0.008608164809023341,0.07981390754381816,0.01434738002717495,1.0,185.57427447591908,True
