point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
1,0,0.0,0.0,0.975,0.878125,0.0035007505933754143,0.5821299540996552,0.023622669279575348,0.7266544103622437,0.03509711101651192,1.0,1.0,1.0,0.996875,0.878125
1,1,0.0,0.0,0.9728125000000001,0.8796875,0.003113404344767332,1.0435385990142823,0.033934902399778366,0.8102787733078003,0.03389884531497955,1.0,1.0,1.0,0.984375,0.8796875
1,2,0.0,0.0,0.969375,0.8546875,0.00392027362366207,1.9535855102539061,0.02952343039214611,0.7828737497329712,0.03251892328262329,1.0,1.0,1.0,0.9921875,0.8546875
2,0,0.1,1.0,0.963125,0.815625,0.003898156143259257,0.014954033344984054,0.013861504383385181,0.4964154362678528,0.016087491065263748,1.0,1.0,1.0,1.0,0.815625
2,1,0.1,1.0,0.9724999999999999,0.8625,0.0029104824794922027,0.014833007697016001,0.020837586373090744,0.6401348114013672,0.017168862745165825,1.0,1.0,1.0,1.0,0.8625
2,2,0.1,1.0,0.9646874999999999,0.8234375,0.0032316485291812567,0.014533603210002183,0.01788957603275776,0.5954043865203857,0.01645800471305847,1.0,1.0,1.0,1.0,0.8234375
3,0,0.1,2.7831576837137404,0.9346875000000001,0.675,0.005010042921639979,0.015469891894608736,0.007905771024525166,0.243121936917305,0.016739221289753914,1.0,1.0,1.0,0.9984375,0.675
3,1,0.1,2.7831576837137404,0.9637499999999999,0.81875,0.003688103158492595,0.015396422520279885,0.012649894692003727,0.4216299057006836,0.016329791396856308,1.0,1.0,1.0,1.0,0.81875
3,2,0.1,2.7831576837137404,0.95625,0.78125,0.004211028467398137,0.014991024751216173,0.010919613763689995,0.36977633833885193,0.01652156002819538,1.0,1.0,1.0,1.0,0.78125
4,0,0.1,7.745966692414834,0.8603125,0.646875,0.008023798759095372,0.015898162070661782,0.004040952771902084,0.06366421282291412,0.01764332689344883,1.0,0.6546875,1.0,1.0,0.646875
4,1,0.1,7.745966692414834,0.93125,0.65625,0.005029469218570739,0.015481052156537771,0.0065898047760128975,0.17518381774425507,0.01658443734049797,1.0,1.0,1.0,1.0,0.65625
4,2,0.1,7.745966692414834,0.9356249999999999,0.678125,0.005175287297461181,0.01561516683548689,0.005845525301992893,0.14387254416942596,0.017088938504457474,1.0,1.0,1.0,1.0,0.678125
5,0,0.1,21.55824671778505,0.5384375,0.4046875,0.020423389058560136,0.02268080991692841,0.0025190527085214853,0.008746935985982418,0.018369628116488457,0.6875,0.4046875,0.50625,0.6078125,0.4859375
5,1,0.1,21.55824671778505,0.8490624999999999,0.525,0.00802178969141096,0.017639366928488016,0.004491598345339298,0.07892157137393951,0.01721092313528061,1.0,0.7203125,1.0,1.0,0.525
