generation,index,x0,x1,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo,task_error,log10_metabolic_cost,log10_wiring_cost,constraint_g,is_feasible,train_time_s
1,2,-1.0806874422,1.2000757703,0,0.08304482186167893,15.851697289935652,0.751875,0.478125,0.011896915370598435,0.022837687563151122,0.0029048335272818804,0.020557597279548645,0.018605757504701614,1.0,0.478125,0.86875,0.8890625,0.5234375,0.521875,-1.6413478728169848,-2.536878751485179,0.12187499999999996,False,433.7733088452369
1,3,-1.0853265918,0.6781943672,0,0.08216245514319837,4.766442597607552,0.91875,0.6375,0.005764582268893719,0.018223742451518775,0.005713985301554203,0.13821998238563538,0.018023984506726265,1.0,0.95625,1.0,1.0,0.6375,0.36250000000000004,-1.7393624309227116,-2.2430608811150035,-0.03749999999999998,True,435.8968550087884
1,4,-1.1304611247,1.5143727062,0,0.07405235515271887,32.68682261574686,0.36968750000000006,0.1890625,0.024773860312998296,0.025238648941740393,0.0023179189302027225,0.004166666883975267,0.018576601520180702,0.36875,0.1890625,0.34375,0.446875,0.5,0.8109375,-1.5979338971637012,-2.63490175766548,0.41093749999999996,False,434.2801299816929
1,5,-0.5862067244,1.5961959336,0,0.25929448253926585,39.46353030865753,0.3053125,0.1578125,0.02865533225238323,0.004033961491659284,0.002162089105695486,0.001087622600607574,0.01603400893509388,0.275,0.1578125,0.2703125,0.3078125,0.515625,0.8421875,-2.394268251894127,-2.665126411532377,0.44218749999999996,False,435.8001086921431
1,6,-1.1304765179,0.7265308249,0,0.07404973046741004,5.327590365813788,0.920625,0.603125,0.0057969697401858864,0.01972188202664256,0.005435710772871971,0.12526041269302368,0.018299102783203125,1.0,1.0,1.0,1.0,0.603125,0.396875,-1.7050516434117926,-2.2647436595715202,-0.0031250000000000444,True,433.7170642367564
1,7,-1.470425779,0.6781943672,0,0.03385121187280583,4.766442597607552,0.9271874999999999,0.6359375,0.005003090291284025,0.036500717513263226,0.0067484816536307335,0.1904105395078659,0.020623475313186646,1.0,1.0,1.0,1.0,0.6359375,0.36406249999999996,-1.4376985983109738,-2.1707939284467175,-0.03593750000000007,True,435.5888542458415
2,0,-1.1304612006,0.7265308249,0,0.07405234220587595,5.327590365813788,0.9237500000000001,0.61875,0.005757066037040204,0.019767685737460853,0.005435960832983255,0.12535232305526733,0.01830245740711689,1.0,1.0,1.0,1.0,0.61875,0.38125,-1.7040441718740618,-2.2647236810934293,-0.018750000000000044,True,435.2710100761615
2,1,-0.67909062,0.6781943672,0,0.20936755432153265,4.766442597607552,0.8484375,0.621875,0.00844011278124526,0.010091169476509095,0.004511349834501743,0.08322609961032867,0.015535515733063221,1.0,0.634375,0.99375,0.9921875,0.621875,0.37812500000000004,-1.9960584999907305,-2.345693494049984,-0.021874999999999978,True,434.5863115689717
2,2,-1.1298152147,0.5889088816,0,0.0741625724031739,3.8806893751740663,0.9290625,0.6453125,0.0053224344598129395,0.019185511972755195,0.006686059758067131,0.18405330181121826,0.017783472314476967,1.0,1.0,1.0,1.0,0.6453125,0.35468750000000004,-1.717026606995989,-2.174829746127712,-0.04531249999999998,True,433.0516478898935
2,3,-0.9075260196,0.7099058683,0,0.12372970582366212,5.12750235292725,0.89,0.640625,0.006329705996904522,0.013865255787968635,0.00495505565777421,0.1025582104921341,0.016815029084682465,1.0,0.809375,1.0,1.0,0.640625,0.359375,-1.8580721140934306,-2.3049514629287646,-0.04062500000000002,True,433.16249153018
2,4,-1.1500602281,0.0441513527,0,0.07078476131043232,1.1070095123694954,0.9625,0.8140625,0.003971040095202625,0.020405514501035213,0.014164499007165432,0.5093902945518494,0.01697440631687641,1.0,1.0,1.0,0.9984375,0.8140625,0.18593749999999998,-1.69025245052837,-1.8487987816992315,-0.21406250000000004,True,434.3028714279644
2,5,-1.470425779,0.7660323999,0,0.03385121187280583,5.834886330037983,0.925,0.625,0.005099597626831383,0.03708821859210729,0.005896446295082569,0.14810049533843994,0.02113831788301468,1.0,1.0,1.0,1.0,0.625,0.375,-1.4307640260458168,-2.2294096526665865,-0.025000000000000022,True,432.3481678003445
2,6,-1.0859725018,0.7260933222,0,0.08204034880838451,5.322226122390154,0.9228125,0.6140625,0.0058733310271054506,0.01846465388312936,0.005309921223670244,0.11928614974021912,0.01807396486401558,1.0,1.0,1.0,1.0,0.6140625,0.38593750000000004,-1.7336588287146453,-2.274911921927777,-0.014062499999999978,True,434.033939731773
2,7,-0.8748914188,0.7267916151,0,0.13338548775829073,5.330790499895369,0.8840625,0.6484375,0.006923879857640714,0.013234133217483759,0.004752115346491337,0.09289215505123138,0.016657579690217972,1.0,0.7734375,0.9984375,1.0,0.6484375,0.3515625,-1.878304497973601,-2.3231130264155984,-0.04843750000000002,True,434.07281521800905
3,0,-0.8703677321,0.7105531718,0,0.13478211526922082,5.135150446606625,0.8896875,0.640625,0.0065166534087620675,0.013223037216812372,0.00485403323546052,0.09780943393707275,0.016539862379431725,1.0,0.8078125,1.0,1.0,0.640625,0.359375,-1.8786687797215136,-2.3138972543889844,-0.04062500000000002,True,434.5679006953724
3,1,-1.0287378903,0.0146066076,0,0.09359703897824026,1.0342049392574888,0.9609375,0.8046875,0.0038177886884659534,0.016545631233602764,0.014060557819902897,0.5017616152763367,0.016078442335128784,1.0,1.0,1.0,1.0,0.8046875,0.1953125,-1.7813166593871133,-1.8519974493517464,-0.20468750000000002,True,435.1194564937614
3,2,-0.7191760782,0.7099058683,0,0.19090790939728222,5.12750235292725,0.850625,0.6140625,0.008181930887512862,0.010773949772119523,0.0044342284090816975,0.07953431457281113,0.015641959384083748,1.0,0.64375,0.9953125,1.0,0.6140625,0.38593750000000004,-1.9676250534552,-2.3531819399430196,-0.014062499999999978,True,432.44178566290066
3,3,-1.3866562933,0.6201418639,0,0.04105288726747599,4.170055776650522,0.931875,0.659375,0.004866452671121806,0.03087489604949951,0.007153395097702742,0.21034006774425507,0.019589202478528023,1.0,1.0,1.0,1.0,0.659375,0.34062499999999996,-1.5103944959251443,-2.145487787256225,-0.05937500000000007,True,436.1535727670416
3,4,-1.1790756212,0.0102161791,0,0.06621012058645304,1.0238024844174478,0.9650000000000001,0.8296875,0.0038775622006505727,0.021351337321102618,0.014790911227464676,0.5301777124404907,0.017087381333112717,1.0,1.0,1.0,0.9953125,0.8296875,0.17031249999999998,-1.6705749181571605,-1.8300050694872754,-0.22968750000000004,True,434.15271216630936
3,5,-1.408948165,0.7294395004,0,0.038998853075485417,5.363391513005191,0.9256249999999999,0.628125,0.005134155040141195,0.03277767304331064,0.0060949623584747314,0.15719975531101227,0.020384617149829865,1.0,1.0,1.0,1.0,0.628125,0.37187499999999996,-1.484421881159685,-2.215028972171472,-0.028125000000000067,True,432.9197107562795
3,6,-0.7357560874,0.0441513527,0,0.1837570087021053,1.1070095123694954,0.9603125,0.8015625,0.003974981151986867,0.009995787451043726,0.011751092970371246,0.411580890417099,0.014397290535271168,1.0,1.0,1.0,1.0,0.8015625,0.19843750000000004,-2.000182987221484,-1.9299217377389826,-0.20156249999999998,True,433.2726096226834
3,7,-0.6823917078,0.7795469125,0,0.20778217701103102,6.019312800196872,0.7424999999999999,0.346875,0.010702091506682337,0.00999611970037222,0.0038921937812119722,0.05810355395078659,0.015646468847990036,1.0,0.346875,0.896875,0.896875,0.571875,0.653125,-2.000168551975371,-2.409805545583535,0.253125,False,436.8844861947
