run_idx,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,train_time_s,is_pareto,acc_fdgo,acc_contextdm1,acc_dmsgo
1,0.0,0.0,0.896875,0.75,0.031768433780719835,1.1868068337440492,0.022293001413345337,78.72414749999734,False,0.95,0.75,0.990625
2,0.0,0.0025,0.896875,0.7546875,0.031182847327242292,1.3005526224772135,0.021025659516453743,73.96832970000105,False,0.9578125,0.7546875,0.978125
3,0.0,0.005,0.8901041666666667,0.7265625,0.03241136219973365,1.3521597226460775,0.019844451919198036,64.98175330000231,False,0.9578125,0.7265625,0.9859375
4,0.0,0.0075,0.9,0.765625,0.03172179255634546,1.2232007463773091,0.019089525565505028,66.65221439999732,True,0.946875,0.765625,0.9875
5,0.0,0.01,0.8911458333333333,0.771875,0.03118695852657159,1.2593193848927815,0.01838074065744877,73.27355779999925,True,0.959375,0.771875,0.9421875
